hour_key,mmsi,visit_id,base_date_time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,transceiver,draft_imputed_flag,length_imputed_flag,width_imputed_flag,sog_imputed_flag,cog_imputed_flag,vessel_area,dimension_ratio,draft_to_length_ratio,hour,day_of_week,month,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_weekend,is_night_shift,is_gate_hours,distance_to_port,is_in_waiting_area,heading_error,acceleration,time_in_zone_hours,ship_density,avg_port_speed,port_throughput,delay_minutes,wind_speed_10m,wind_gusts_10m,precipitation,weather_code,wave_height,swell_wave_height
2023-08-16 22:00:00,205086000,1,2023-08-17 03:12:07+05,-118.12085,33.50155,6.3,342.2,335,DORIS,IMO9877781,ONKY,80,0,336,60,11.0,A,0,0,0,0,0,20160,5.6,0.0327380952380952,22,4,8,-0.5,0.866025403784438,-0.433883739117558,-0.900968867902419,-0.866025403784438,-0.5,0,1,0,27.4968765500878,0,45.7072140941245,,0.0,40,1.4807855626327,0,,19.4,42.8,0.0,0,0.88,0.36
2023-08-16 22:00:00,205086000,1,2023-08-17 03:13:16+05,-118.12165,33.50354,6.5,341.5,335,DORIS,IMO9877781,ONKY,80,0,336,60,11.0,A,0,0,0,0,0,20160,5.6,0.0327380952380952,22,4,8,-0.5,0.866025403784438,-0.433883739117558,-0.900968867902419,-0.866025403784438,-0.5,0,1,0,27.2666405873418,0,46.4875417049712,5.21739130434785,0.0,40,1.4807855626327,0,,19.4,42.8,0.0,0,0.88,0.36
2023-08-16 22:00:00,205086000,1,2023-08-17 03:14:28+05,-118.12245,33.50562,6.5,342.2,334,DORIS,IMO9877781,ONKY,80,0,336,60,11.0,A,0,0,0,0,0,20160,5.6,0.0327380952380952,22,4,8,-0.5,0.866025403784438,-0.433883739117558,-0.900968867902419,-0.866025403784438,-0.5,0,1,0,27.0276295922076,0,45.8792191007736,1.66666666666666,0.0,40,1.4807855626327,0,,19.4,42.8,0.0,0,0.88,0.36
2023-08-16 22:00:00,205086000,1,2023-08-17 03:15:38+05,-118.12325,33.50767,6.6,343.1,335,DORIS,IMO9877781,ONKY,80,0,336,60,11.0,A,0,0,0,0,0,20160,5.6,0.0327380952380952,22,4,8,-0.5,0.866025403784438,-0.433883739117558,-0.900968867902419,-0.866025403784438,-0.5,0,1,0,26.7916302274044,0,45.0691634997732,5.14285714285717,0.0,40,1.4807855626327,0,,19.4,42.8,0.0,0,0.88,0.36
2023-08-16 22:00:00,205086000,1,2023-08-17 03:16:48+05,-118.12404,33.50971,6.7,342.2,335,DORIS,IMO9877781,ONKY,80,0,336,60,11.0,A,0,0,0,0,0,20160,5.6,0.0327380952380952,22,4,8,-0.5,0.866025403784438,-0.433883739117558,-0.900968867902419,-0.866025403784438,-0.5,0,1,0,26.5571169551413,0,46.0613262034576,3.42857142857142,0.0,40,1.4807855626327,0,,19.4,42.8,0.0,0,0.88,0.36
2023-08-16 22:00:00,205086000,1,2023-08-17 03:17:58+05,-118.12483,33.5118,6.7,341.6,334,DORIS,IMO9877781,ONKY,80,0,336,60,11.0,A,0,0,0,0,0,20160,5.6,0.0327380952380952,22,4,8,-0.5,0.866025403784438,-0.433883739117558,-0.900968867902419,-0.866025403784438,-0.5,0,1,0,26.3177815509958,0,46.7608788779404,3.42857142857142,0.0,40,1.4807855626327,0,,19.4,42.8,0.0,0,0.88,0.36
2023-08-16 22:00:00,205086000,1,2023-08-17 03:19:07+05,-118.12562,33.51389,6.8,342.4,334,DORIS,IMO9877781,ONKY,80,0,336,60,11.0,A,0,0,0,0,0,20160,5.6,0.0327380952380952,22,4,8,-0.5,0.866025403784438,-0.433883739117558,-0.900968867902419,-0.866025403784438,-0.5,0,1,0,26.0785275471118,0,46.0622579782893,3.47826086956521,0.0,40,1.4807855626327,0,,19.4,42.8,0.0,0,0.88,0.36
2023-08-16 22:00:00,205086000,1,2023-08-17 03:20:18+05,-118.12644,33.51606,6.9,342.9,335,DORIS,IMO9877781,ONKY,80,0,336,60,11.0,A,0,0,0,0,0,20160,5.6,0.0327380952380952,22,4,8,-0.5,0.866025403784438,-0.433883739117558,-0.900968867902419,-0.866025403784438,-0.5,0,1,0,25.830214643165,0,45.6695470137026,3.38028169014083,0.0,40,1.4807855626327,0,,19.4,42.8,0.0,0,0.88,0.36
2023-08-16 22:00:00,205086000,1,2023-08-17 03:21:28+05,-118.12725,33.5182,6.9,341.9,335,DORIS,IMO9877781,ONKY,80,0,336,60,11.0,A,0,0,0,0,0,20160,5.6,0.0327380952380952,22,4,8,-0.5,0.866025403784438,-0.433883739117558,-0.900968867902419,-0.866025403784438,-0.5,0,1,0,25.5853661115466,0,46.7771486936202,3.42857142857146,0.0,40,1.4807855626327,0,,19.4,42.8,0.0,0,0.88,0.36
2023-08-16 22:00:00,205086000,1,2023-08-17 03:22:38+05,-118.12808,33.52034,6.9,342.7,335,DORIS,IMO9877781,ONKY,80,0,336,60,11.0,A,0,0,0,0,0,20160,5.6,0.0327380952380952,22,4,8,-0.5,0.866025403784438,-0.433883739117558,-0.900968867902419,-0.866025403784438,-0.5,0,1,0,25.3397173073218,0,46.0831656985353,1.71428571428575,0.0,40,1.4807855626327,0,,19.4,42.8,0.0,0,0.88,0.36
